iter	MultiClass	TotalF1:average=Micro
0	2.26959745	0.3236727108
1	2.235677461	0.3442161836
2	2.207303302	0.3700838817
3	2.174499106	0.3893214124
4	2.146075441	0.3958511226
5	2.123693168	0.3956502084
6	2.101786658	0.3951981516
7	2.07815424	0.4024310613
8	2.059414394	0.4030338038
9	2.038221362	0.4084082576
10	2.01684351	0.4136320257
11	1.99853638	0.4159425386
12	1.981830014	0.4160429956
13	1.965289451	0.4176000804
14	1.948565483	0.4232256768
15	1.938481951	0.4236777337
16	1.925397065	0.4230247627
17	1.915847529	0.4233763624
18	1.903854355	0.4241297905
19	1.894037473	0.4249836757
20	1.886600811	0.4261389321
21	1.875536678	0.4257371038
22	1.864933655	0.4262896178
23	1.853721792	0.4287005877
24	1.845142181	0.4286503591
25	1.833503036	0.4305590436
26	1.82275141	0.4330202421
27	1.812051571	0.4353307549
28	1.80617249	0.4356321262
29	1.798336511	0.4356321262
30	1.790308585	0.4365362399
31	1.783703175	0.436636697
32	1.776178226	0.4377417248
33	1.767878853	0.4384951529
34	1.761486343	0.4402029233
35	1.753524737	0.4413581797
36	1.746595682	0.4418102366
37	1.740203415	0.4427143503
38	1.732852873	0.4432166357
39	1.728207466	0.442965493
40	1.720264931	0.4443718921
41	1.714174107	0.4459792054
42	1.708559855	0.4468833191
43	1.703117422	0.446782862
44	1.697309367	0.4476367472
45	1.691507472	0.4484404038
46	1.685446285	0.4489426892
47	1.679572001	0.4499974886
48	1.675932685	0.4507006881
49	1.670697203	0.4512532021
50	1.66487076	0.4529107439
51	1.660467509	0.4529609724
52	1.656762277	0.4533628007
53	1.651835322	0.4544678286
54	1.649210829	0.4550203426
55	1.648341231	0.4552212567
56	1.642615455	0.4555728565
57	1.63723209	0.45682857
58	1.633335988	0.45682857
59	1.631396301	0.4572806269
60	1.627721006	0.458034055
61	1.623926822	0.4586367974
62	1.620780255	0.459339997
63	1.61850115	0.4591390828
64	1.615642958	0.4597920538
65	1.610931267	0.4604450249
66	1.609705385	0.4605957105
67	1.606918195	0.4608970817
68	1.604171181	0.4608970817
69	1.600724261	0.4620523381
70	1.597158746	0.4621527952
71	1.593637667	0.4619518811
72	1.59144585	0.4622030238
73	1.589989588	0.4621527952
74	1.586738665	0.4629564519
75	1.584058024	0.46370988
76	1.58189119	0.4642623939
77	1.57779635	0.4646642222
78	1.574949865	0.4651665076
79	1.573515821	0.4653674218
80	1.57024773	0.4657692501
81	1.566696795	0.4666231353
82	1.563601437	0.466974735
83	1.562887949	0.4670249636
84	1.560295344	0.4676277061
85	1.557997622	0.4690341052
86	1.55458109	0.4695363906
87	1.552009452	0.4697373047
88	1.550123542	0.4705409614
89	1.547324437	0.4702898187
90	1.546481755	0.4702395901
91	1.544073523	0.4710432468
92	1.542636049	0.4721985032
93	1.539670801	0.4721985032
94	1.538621915	0.4722487317
95	1.53709662	0.4727007886
96	1.534822994	0.4731528454
97	1.534232936	0.4733537596
98	1.532914039	0.4742076448
99	1.529970085	0.4750113014
100	1.528863871	0.4754131297
101	1.527977717	0.4756140439
102	1.526775942	0.4755135868
103	1.525227585	0.4752122156
104	1.524003963	0.4759656437
105	1.523377189	0.4759656437
106	1.523003492	0.4761163293
107	1.522121066	0.4764679291
108	1.520960382	0.4769199859
109	1.519834057	0.4778743282
110	1.51773487	0.4780752424
111	1.515348088	0.4781254709
112	1.514650906	0.4786779848
113	1.514071871	0.4790295846
114	1.51203104	0.47953187
115	1.510962415	0.4793309558
116	1.509988165	0.480184841
117	1.509522055	0.4800843839
118	1.506955243	0.4803857552
119	1.506369601	0.4808880406
120	1.505647719	0.4808880406
121	1.503317877	0.4810387262
122	1.501918829	0.4813400974
123	1.501535743	0.481390326
124	1.500517267	0.4814405545
125	1.498761807	0.4814405545
126	1.497398435	0.4819428399
127	1.496507535	0.4819930685
128	1.495866832	0.4823948968
129	1.493935467	0.4823948968
130	1.491843372	0.4831483249
131	1.489816865	0.4833994676
132	1.489360332	0.4830478678
133	1.488709918	0.4827464966
134	1.487028738	0.4833994676
135	1.486029449	0.483248782
136	1.485004591	0.4832990105
137	1.484131109	0.4836506103
138	1.483691046	0.4837510674
139	1.483091343	0.4845044955
140	1.481569609	0.4850067809
141	1.480478159	0.4853583806
142	1.479864634	0.4851574665
143	1.478702528	0.4853081521
144	1.478063956	0.485760209
145	1.476984537	0.4866643227
146	1.476103406	0.4867647797
147	1.475388558	0.4867647797
148	1.474723209	0.4869154654
149	1.474415708	0.487066151
150	1.472954513	0.4872670651
151	1.471745919	0.4879702647
152	1.471395931	0.4879200362
153	1.470455298	0.488372093
154	1.469559144	0.4888241499
155	1.467751356	0.4891757497
156	1.466949459	0.4892259782
157	1.466561342	0.4893264353
158	1.465151458	0.4892762067
159	1.464489457	0.4896780351
160	1.464058666	0.4900798634
161	1.463214634	0.4899794063
162	1.46239733	0.490230549
163	1.461585472	0.4899794063
164	1.459925337	0.4907830629
165	1.459391113	0.4906826059
166	1.458425255	0.4912853483
167	1.457575567	0.4910844342
168	1.456824488	0.4909337486
169	1.456232593	0.4913858054
170	1.455153093	0.491536491
171	1.454941295	0.4914862625
172	1.454297395	0.491536491
173	1.453804694	0.4912351198
174	1.453090235	0.491436034
175	1.452598866	0.4911346627
