instance_id,music_genre
48564,Hip-Hop
72394,Alternative
88081,Rap
78331,Anime
72636,Anime
74228,Rap
39106,Rap
78829,Alternative
91469,Alternative
54558,Jazz
44055,Jazz
29671,Jazz
56323,Rock
54809,Electronic
55369,Hip-Hop
68566,Country
53565,Rap
69565,Hip-Hop
39014,Rock
28452,Country
40219,Country
41832,Classical
50963,Classical
58058,Anime
41339,Rock
25263,Country
30932,Blues
65113,Alternative
43628,Rap
82352,Anime
25868,Classical
57582,Rap
64912,Alternative
30690,Rap
58160,Anime
48352,Country
32598,Anime
81733,Anime
68478,Rap
61070,Jazz
87062,Classical
50604,Jazz
51443,Blues
79739,Alternative
52375,Hip-Hop
43645,Alternative
51950,Electronic
62180,Rap
91491,Alternative
57217,Rock
30912,Jazz
37289,Blues
58378,Hip-Hop
83848,Rock
88071,Rap
78696,Country
73721,Hip-Hop
21431,Jazz
33066,Classical
71571,Hip-Hop
54360,Electronic
61237,Hip-Hop
43763,Alternative
53222,Hip-Hop
24144,Electronic
35526,Rap
79272,Blues
28682,Anime
78220,Rap
42113,Hip-Hop
29197,Rap
73749,Rap
76959,Blues
32662,Country
28240,Alternative
78684,Electronic
23339,Hip-Hop
66580,Hip-Hop
62293,Electronic
73224,Anime
63436,Jazz
85265,Hip-Hop
49131,Country
42894,Rap
32778,Electronic
88626,Hip-Hop
20474,Rock
57621,Rap
68702,Jazz
68429,Anime
48412,Jazz
31462,Electronic
20258,Rap
80048,Hip-Hop
36643,Blues
51269,Alternative
36620,Classical
47393,Blues
34229,Blues
27054,Jazz
74946,Jazz
79753,Alternative
78997,Classical
90739,Blues
34604,Classical
48875,Hip-Hop
72374,Electronic
84383,Hip-Hop
82285,Country
49168,Hip-Hop
35219,Alternative
72531,Blues
37626,Electronic
74540,Electronic
22782,Alternative
59663,Alternative
65605,Alternative
63227,Rap
27942,Rap
61120,Rap
59041,Blues
67531,Hip-Hop
89417,Rap
51652,Classical
23769,Alternative
88512,Country
69103,Electronic
25734,Alternative
35192,Hip-Hop
77761,Rock
58002,Electronic
27331,Rock
90879,Country
66951,Hip-Hop
21111,Electronic
36583,Anime
69430,Rock
26846,Electronic
54227,Hip-Hop
79612,Classical
36250,Rap
71243,Anime
41033,Jazz
58600,Classical
64358,Hip-Hop
55882,Rap
67981,Blues
78157,Alternative
39280,Alternative
65167,Alternative
50033,Anime
34067,Electronic
71541,Country
58044,Anime
67611,Country
88524,Jazz
50007,Anime
36733,Jazz
55966,Rock
29854,Electronic
47533,Classical
84957,Rock
27733,Country
88890,Country
71105,Classical
87402,Rock
81300,Rap
25948,Rap
30686,Classical
27597,Blues
46658,Alternative
33241,Jazz
34855,Alternative
39290,Rap
61297,Electronic
79393,Country
85447,Blues
24779,Blues
21888,Alternative
22450,Electronic
21637,Hip-Hop
76444,Rap
34627,Electronic
30361,Alternative
22862,Alternative
55635,Rock
39392,Jazz
21530,Country
53803,Classical
79904,Anime
79589,Alternative
38281,Classical
26187,Rock
65289,Blues
38631,Anime
34026,Rock
81881,Country
25877,Country
79755,Rap
67894,Hip-Hop
50248,Classical
32074,Classical
41890,Electronic
36233,Country
63019,Rock
31135,Blues
91653,Rap
67493,Rap
45720,Alternative
78113,Anime
66990,Rap
33226,Blues
43840,Classical
66599,Rap
37709,Blues
89646,Rap
41952,Jazz
90953,Country
26762,Alternative
62414,Blues
54492,Electronic
22070,Blues
34735,Electronic
37276,Rock
91709,Classical
79337,Country
32555,Country
28310,Electronic
60154,Blues
89947,Electronic
67061,Jazz
82280,Rock
67551,Anime
49912,Blues
44285,Country
62759,Rap
26763,Anime
88251,Anime
21144,Rap
39166,Country
58756,Country
74087,Blues
58075,Jazz
49533,Hip-Hop
79989,Blues
58425,Country
62607,Jazz
85075,Alternative
56756,Anime
28898,Blues
42118,Jazz
55409,Classical
31714,Classical
41361,Jazz
30503,Anime
45222,Country
68913,Country
74995,Jazz
47775,Alternative
37384,Rock
49180,Anime
28678,Hip-Hop
42464,Rock
79508,Anime
62403,Hip-Hop
40756,Hip-Hop
85665,Classical
79277,Anime
23449,Hip-Hop
82350,Electronic
61130,Electronic
55562,Classical
78807,Electronic
67592,Hip-Hop
58204,Rap
42874,Hip-Hop
76341,Jazz
47432,Alternative
22904,Anime
42683,Classical
72925,Anime
25202,Rap
23994,Alternative
41096,Classical
53503,Jazz
83671,Electronic
59711,Blues
61562,Hip-Hop
67914,Rap
50650,Alternative
32141,Rock
50317,Country
